,user_id,transaction_id,person,date,city,purchased_items
0,USER0001,TX00001,Michele Griffin,2022-11-20,"Houston, TX","External HDD,CPU,USB Hub,Keyboard,Mouse,Power Supply,Headset,Optical Drive"
1,USER0001,TX00002,Michele Griffin,2024-07-04,"Houston, TX","Motherboard,Thermal Paste,UPS,Graphics Tablet"
2,USER0001,TX00003,Michele Griffin,2022-10-18,"Houston, TX","CPU,Motherboard,Surge Protector,GPU,Cooling Fan,Speakers,UPS,Keyboard,Headset,Mouse"
3,USER0002,TX00004,Lisa Christian,2024-05-31,"Detroit, MI","Power Supply,External HDD,Sound Card,Speakers"
4,USER0002,TX00005,Lisa Christian,2022-10-18,"Detroit, MI","Thermal Paste,CPU,Surge Protector,Motherboard,CPU Cooler,Cooling Fan,HDD,Sound Card,Graphics Tablet"
5,USER0002,TX00006,Lisa Christian,2023-08-09,"Detroit, MI","Case,CPU Cooler,Sound Card"
6,USER0002,TX00007,Lisa Christian,2024-09-01,"Detroit, MI","Keyboard,Network Card,Speakers,Optical Drive,Thermal Paste,External HDD,Mouse,Cooling Fan"
7,USER0002,TX00008,Lisa Christian,2022-09-22,"Detroit, MI","Headset,GPU,RGB Lighting,External HDD,Monitor,Sound Card,RAM"
8,USER0003,TX00009,Kathleen Rodriguez,2024-06-17,"Columbus, OH","Monitor,External HDD,Network Card,GPU,Graphics Tablet,Headset,Speakers,UPS,Sound Card,USB Hub"
9,USER0003,TX00010,Kathleen Rodriguez,2024-08-15,"Columbus, OH","CPU Cooler,Cooling Fan,Case,GPU,RGB Lighting,Headset,Mouse,External HDD"
10,USER0004,TX00011,Mitchell Collier,2023-11-09,"Austin, TX","CPU,Speakers,SSD"
11,USER0005,TX00012,Pamela Taylor,2023-06-12,"Seattle, WA","Sound Card,Case,Monitor"
12,USER0005,TX00013,Pamela Taylor,2024-07-13,"Seattle, WA","SSD,RAM,Keyboard,Sound Card,Motherboard,Speakers,Power Supply"
13,USER0005,TX00014,Pamela Taylor,2024-03-31,"Seattle, WA","UPS,Thermal Paste,Mouse"
14,USER0005,TX00015,Pamela Taylor,2024-06-09,"Seattle, WA","Monitor,Graphics Tablet,Cooling Fan,Sound Card,SSD,CPU,Motherboard,Webcam,GPU,Power Supply"
15,USER0005,TX00016,Pamela Taylor,2023-02-23,"Seattle, WA","Graphics Tablet,Optical Drive,USB Hub,UPS,Case,Cooling Fan,RGB Lighting,SSD,Thermal Paste"
16,USER0006,TX00017,Rachel Good,2024-06-16,"Austin, TX","USB Hub,HDD,Motherboard,Surge Protector"
17,USER0007,TX00018,Nicole Lawrence,2023-10-25,"Phoenix, AZ","UPS,USB Hub,CPU,Graphics Tablet,Surge Protector,Headset,Optical Drive,External HDD,Sound Card,Power Supply"
